table,column,source_dtype,non_null,null_pct,n_unique,sample,min,median,max
channel_prediction_table,churn_prob_lr,float64,8083,0.0,914,0.0,0.0,0.199,0.998
channel_prediction_table,churn_prob_rf,float64,8083,0.0,702,0.066,0.007,0.124,0.975
channel_prediction_table,churn_prob_xgb,float64,8083,0.0,2,0.0,0.0,0.0,1.0
channel_prediction_table,churn_prob,float64,8083,0.0,677,0.022,0.002,0.11,0.987
channel_prediction_table,stagnation_actual_label,float64,3333,58.765,2,1.0,0.0,1.0,1.0
channel_prediction_table,stagnation_prob_lr,float64,3333,58.765,870,0.871,0.0,0.507,1.0
channel_prediction_table,stagnation_prob_rf,float64,3333,58.765,423,0.975,0.0,0.821,0.988
channel_prediction_table,stagnation_prob_xgb,float64,3333,58.765,19,1.0,0.0,1.0,1.0
channel_prediction_table,stagnation_prob,float64,3333,58.765,596,0.948,0.0,0.708,0.996
channel_prediction_table,volatility_actual_label,float64,3333,58.765,2,0.0,0.0,0.0,1.0
channel_prediction_table,volatility_prob_lr,float64,3333,58.765,745,0.065,0.0,0.209,1.0
channel_prediction_table,volatility_prob_rf,float64,3333,58.765,372,0.024,0.0,0.086,0.991
channel_prediction_table,volatility_prob_xgb,float64,3333,58.765,23,0.0,0.0,0.0,1.0
channel_prediction_table,volatility_prob,float64,3333,58.765,514,0.03,0.0,0.106,0.997
channel_prediction_table,has_churn,int64,8083,0.0,1,1,1.0,1.0,1.0
channel_prediction_table,has_stagnation,int64,8083,0.0,2,1,0.0,0.0,1.0
channel_prediction_table,has_volatility,int64,8083,0.0,2,1,0.0,0.0,1.0
video_info_table,video_id,object,166449,0.0,166449,yOTYf7a8XBY,,,
video_info_table,channel_id,object,166449,0.0,3336,UC0kp1x32b-Y4cvP5r3vW_hw,,,
video_info_table,channel_title,object,166449,0.0,3336,Sereno Official,,,
video_info_table,video_title,object,166448,0.001,164520,Sereno - 목설화 (目雪話),,,
video_info_table,published_at,object,166445,0.002,155849,2017-09-21 11:07:10+00:00,,,
video_info_table,duration_sec,float64,166144,0.183,8425,195.0,2.0,215.0,83514.0
video_info_table,is_shorts,bool,166449,0.0,2,False,0.0,0.0,1.0
video_info_table,view_count,float64,166445,0.002,100541,314804.0,0.0,33989.0,707336604.0
video_info_table,like_count,float64,161243,3.128,16383,2497.0,0.0,566.0,2262875.0
video_info_table,comment_count,float64,163718,1.641,3239,84.0,0.0,38.0,325451.0
video_info_table,source_file,object,166445,0.002,80,videos_3250-3299.csv,,,
video_info_table,channel_created_at,object,166449,0.0,3336,2015-11-02T10:38:22Z,,,
video_info_table,country,object,150816,9.392,14,KR,,,
video_info_table,subscriber_count,float64,166449,0.0,775,100000.0,98900.0,284000.0,1490000.0
video_info_table,channel_total_views,float64,166449,0.0,3335,46972796.0,0.0,116931949.0,5648210224.0
video_info_table,total_video_count,float64,166449,0.0,1736,78.0,0.0,606.0,25899.0
